id;title;date;details;location;price;agency;start_time;end_time;capacity;popularity
1;zero tolerance;2021-04-20T07:15:25;Associate Assurance info-mediaries;green;21804;Gloves Baby;2021-04-19T19:48:57;2021-04-20T14:38:58;68751;28542
2;neural;2021-04-19T16:06:24;Car Garden;navigating Factors;75391;deposit;2021-04-19T18:14:36;2021-04-20T07:02:04;74792;26306
3;Chief synergize;2021-04-20T14:38:36;Vermont quantifying;black Streamlined;27668;innovative;2021-04-20T08:12:25;2021-04-20T03:50:18;28058;44658
4;Rubber Home Bedfordshire;2021-04-20T15:53:52;Towels;magenta revolutionize;46395;Checking Account;2021-04-19T20:36:55;2021-04-20T12:28:51;26652;57435
5;District;2021-04-20T04:16:41;Marketing copy Checking Account;Balboa US Dollar Cambodia Rand Loti;43229;quantifying Branding;2021-04-20T08:33:04;2021-04-20T01:32:36;35257;16297
6;Auto Loan Account;2021-04-20T05:52:48;Montana Peso Uruguayo Uruguay Peso en Unidades Indexadas primary;Tanzania 24/7;25254;mission-critical bypass;2021-04-20T14:26:44;2021-04-19T23:51:23;71026;12440
7;quantify wireless Massachusetts;2021-04-20T15:18:48;Bhutan global;Fresh transmit;97570;productivity indexing;2021-04-20T09:50:18;2021-04-20T04:44:27;70364;21229
8;middleware Cloned Chips;2021-04-19T17:00:38;New Caledonia Bedfordshire;calculate mobile USB;56271;Small Fresh Pants;2021-04-19T17:07:01;2021-04-20T15:26:05;79897;99468
9;ubiquitous Auto Loan Account;2021-04-20T05:45:44;Division;online hacking Frozen;58799;Front-line Kids;2021-04-19T23:11:50;2021-04-20T05:28:13;20238;38512
10;SMTP Kentucky;2021-04-20T04:59:17;Tunisian Dinar Manager;Somali Shilling system;74740;Won Australia Incredible Fresh Computer;2021-04-20T06:42:37;2021-04-20T12:19:54;344;21882
